# Cases for 015_api_key_expiry_canonical, one per line, tab-separated:
#   stored expires_at <TAB> expires_at after the repair <TAB> active|revoked
# `active` is exactly the rows `repo::parse_iso` reads; the SQLite test
# asserts that against the parser before it asserts anything about the SQL.
# CI's PostgreSQL job loads this file with `\copy`, so no value may contain a
# tab or a backslash, begin with `#`, or carry a NUL (PostgreSQL `text` cannot
# hold one; the NUL case is its own SQLite test).
2026-06-01T12:00:00+00:00	2026-06-01T12:00:00Z	active
2026-06-01T12:00:00-00:00	2026-06-01T12:00:00Z	active
2026-06-01T12:00:00−00:00	2026-06-01T12:00:00Z	active
2026-06-01 12:00:00z	2026-06-01T12:00:00Z	active
2026-06-01t12:00:00Z	2026-06-01T12:00:00Z	active
2024-02-29T00:00:00+00:00	2024-02-29T00:00:00Z	active
2026-06-01T12:00:00Z	2026-06-01T12:00:00Z	active
2000-02-29T00:00:00Z	2000-02-29T00:00:00Z	active
0000-02-29T00:00:00Z	0000-02-29T00:00:00Z	active
2026-04-30T00:00:00Z	2026-04-30T00:00:00Z	active
2026-12-31T23:59:59Z	2026-12-31T23:59:59Z	active
2026-06-30T23:59:60Z	2026-06-30T23:59:60Z	active
2026-06-01T20:00:00+09:00	2026-06-01T20:00:00+09:00	active
2026-06-01T12:00:00−05:00	2026-06-01T12:00:00−05:00	active
2026-06-01T12:00:00+23:59	2026-06-01T12:00:00+23:59	active
2026-06-01T12:00:00-23:59	2026-06-01T12:00:00-23:59	active
2026-06-01T12:00:00.5Z	2026-06-01T12:00:00.5Z	active
2026-06-01T12:00:00.123456+00:00	2026-06-01T12:00:00.123456+00:00	active
2026-06-01T12:00:00.1234567890123-05:00	2026-06-01T12:00:00.1234567890123-05:00	active
2026-06-30T23:59:60.5Z	2026-06-30T23:59:60.5Z	active
2026-06-01T12:00:60Z	2026-06-01T12:00:60Z	active
2026-06-01T12:00:00.5−05:00	2026-06-01T12:00:00.5−05:00	active
2026-06-01T12:00:00.5z	2026-06-01T12:00:00.5z	active
0000-01-01T00:00:00+23:59	0000-01-01T00:00:00+23:59	active
never	never	revoked
0	0	revoked
2026-06-01	2026-06-01	revoked
2027-01-31T09:00	2027-01-31T09:00	revoked
2026-06-01T12:00:00	2026-06-01T12:00:00	revoked
2026-06-01T12:00:00+0900	2026-06-01T12:00:00+0900	revoked
2026-06-01T12:00:00+9:00	2026-06-01T12:00:00+9:00	revoked
2026-06-01T12:00:00 Z	2026-06-01T12:00:00 Z	revoked
2026-06-01X12:00:00Z	2026-06-01X12:00:00Z	revoked
2026-06-01T12:00:00.5	2026-06-01T12:00:00.5	revoked
2026-06-01T12:00:00.5junk	2026-06-01T12:00:00.5junk	revoked
2026-06-01T12:00:00.Z	2026-06-01T12:00:00.Z	revoked
2026-06-01T12:00:00..5Z	2026-06-01T12:00:00..5Z	revoked
2026-06-01T12:00:00.5.5Z	2026-06-01T12:00:00.5.5Z	revoked
2026-06-01T12:00:00.5Zjunk	2026-06-01T12:00:00.5Zjunk	revoked
2026-06-01T12:00:00Zjunk	2026-06-01T12:00:00Zjunk	revoked
2026-06-01T12:00:00+00:00junk	2026-06-01T12:00:00+00:00junk	revoked
2026-06-01T12:00:00+09:00junk	2026-06-01T12:00:00+09:00junk	revoked
2026-06-01T12:00:00+٠٩:٠٠	2026-06-01T12:00:00+٠٩:٠٠	revoked
2026-06-01T24:00:00Z	2026-06-01T24:00:00Z	revoked
2026-06-01T25:00:00Z	2026-06-01T25:00:00Z	revoked
2026-06-01T12:60:00Z	2026-06-01T12:60:00Z	revoked
2026-06-01T12:00:61Z	2026-06-01T12:00:61Z	revoked
2026-06-01T12:00:00+24:00	2026-06-01T12:00:00+24:00	revoked
2026-06-01T12:00:00+99:99	2026-06-01T12:00:00+99:99	revoked
2026-06-01T12:00:00+09:60	2026-06-01T12:00:00+09:60	revoked
2026-00-01T00:00:00Z	2026-00-01T00:00:00Z	revoked
2026-13-01T00:00:00Z	2026-13-01T00:00:00Z	revoked
2026-06-00T00:00:00Z	2026-06-00T00:00:00Z	revoked
2026-01-32T00:00:00Z	2026-01-32T00:00:00Z	revoked
2026-04-31T00:00:00Z	2026-04-31T00:00:00Z	revoked
2026-02-31T00:00:00Z	2026-02-31T00:00:00Z	revoked
2026-02-29T00:00:00Z	2026-02-29T00:00:00Z	revoked
1900-02-29T00:00:00Z	1900-02-29T00:00:00Z	revoked
2026-02-31T00:00:00+00:00	2026-02-31T00:00:00+00:00	revoked
2026-06-01T25:00:00+00:00	2026-06-01T25:00:00+00:00	revoked
